title,link,image
#孟羽童 回应离职，将申请研究生继续读书，在#格力 时月薪并未过万,https://www.iesdouyin.com/share/video/7232137345477152060/?region=CN&mid=7232137414540741437&u_code=0&titleType=title&did=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&iid=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&with_sec_did=1&from_ssr=1,https://p3-sign.douyinpic.com/tos-cn-i-dy/498200e5329d4146ae69940bfd25941f~c5_300x400.jpeg?x-expires=1685091600&x-signature=9FYptr6Kj4MphWr2zeallmCsb9M%3D&from=2563711402_large
孟羽童发文：靠别人永远不如靠自己，格力回应：其已离职，人员流动很正常，孟羽童曾被董明珠视为“接班人”!,https://www.iesdouyin.com/share/video/7231526969781931321/?region=CN&mid=7038196131939109662&u_code=0&titleType=title&did=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&iid=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&with_sec_did=1&from_ssr=1,https://p26-sign.douyinpic.com/tos-cn-i-dy/id1d07e861d7a49848f40e3b113949fdd~c5_300x400.jpeg?x-expires=1685091600&x-signature=%2F5%2FQoS5BUjmWTNMci5LiNEk9cgw%3D&from=2563711402_large
再次“神预言”！李国庆：早说过孟羽童会辞职，现在签她保底400万#孟羽童 #董明珠 #李国庆 #热点新闻事件 @DOU+小助手,https://www.iesdouyin.com/share/video/7232084947324898615/?region=CN&mid=7117547156667861006&u_code=0&titleType=title&did=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&iid=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&with_sec_did=1&from_ssr=1,https://p26-sign.douyinpic.com/tos-cn-i-dy/16b9dbce9d3745ffb046bf54d881345b~c5_300x400.jpeg?x-expires=1685091600&x-signature=H6QT1%2F%2BFbJ%2BPFbvsjVSKuqoXk6s%3D&from=2563711402_large
5月11日，李国庆发视频表达，孟羽童离职是早晚的事。现在签她 保底400万。#孟羽童  #李国庆,https://www.iesdouyin.com/share/video/7232157855275683129/?region=CN&mid=6904659541586085890&u_code=0&titleType=title&did=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&iid=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&with_sec_did=1&from_ssr=1,https://p26-sign.douyinpic.com/tos-cn-i-dy/aa90b806f8e14044b743b061002fdc07~c5_300x400.jpeg?x-expires=1685091600&x-signature=q1P8qk%2B0SUGGdbqSq%2F6sGyiKnIg%3D&from=2563711402_large
孟羽童已从格力离职，董明珠曾称要将孟羽童培养成第二个自己。#孟羽童曾称靠别人不如靠自己 #孟羽童,https://www.iesdouyin.com/share/video/7231510079613291836/?region=CN&mid=6877844044135794702&u_code=0&titleType=title&did=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&iid=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&with_sec_did=1&from_ssr=1,https://p3-sign.douyinpic.com/tos-cn-i-dy/i15026dc41c5f48b0947fd884009331b3~c5_300x400.jpeg?x-expires=1685091600&x-signature=HPJ2BTjAcX5w5IQTSexuk0x9Wi0%3D&from=2563711402_large
孟羽童：靠别人永远不如靠自己，格力回应：其已离职，人员流动很正常。曾被董明珠视为“接班人”！,https://www.iesdouyin.com/share/video/7231512855735012623/?region=CN&mid=7126354913304398600&u_code=0&titleType=title&did=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&iid=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&with_sec_did=1&from_ssr=1,https://p26-sign.douyinpic.com/tos-cn-p-0015/fa10d4f4a09d43d6a944e4f4251597c8_1683717800~c5_300x400.jpeg?x-expires=1685091600&x-signature=%2BchR%2FnxZnkhttlPfX5zO7tgmL5E%3D&from=2563711402_large
5月11日，孟羽童社交平台账号更新视频回应从格力离职，表示“没有格力这个平台和董总，我什么都不是”，下一步计划准备读书。#孟羽童,https://www.iesdouyin.com/share/video/7231780784913255740/?region=CN&mid=7111983860958971918&u_code=0&titleType=title&did=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&iid=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&with_sec_did=1&from_ssr=1,https://p3-sign.douyinpic.com/tos-cn-i-dy/i43e19b5553d9478198d330dc044b958a~c5_300x400.jpeg?x-expires=1685091600&x-signature=kzI9JO4YfoOIvr3DCSyr5FqjIn8%3D&from=2563711402_large
孟羽童曾称一度连续工作21小时，连续两个月没有完整休息的周末,https://www.iesdouyin.com/share/video/7231815818462498109/?region=CN&mid=6847797710196935437&u_code=0&titleType=title&did=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&iid=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&with_sec_did=1&from_ssr=1,https://p3-sign.douyinpic.com/tos-cn-i-dy/20739d0a4ace4ca68fa8008101d0d947~c5_300x400.jpeg?x-expires=1685091600&x-signature=q%2Bt1R0vaLdihh%2FVk5PVEfQj7asY%3D&from=2563711402_large
董明珠接班人孟羽童离职#格力称孟羽童已离职 #孟羽童 #热点新闻事件 #社会百态 #抖音小助手,https://www.iesdouyin.com/share/video/7231512176823962932/?region=CN&mid=7103595433829615630&u_code=0&titleType=title&did=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&iid=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&with_sec_did=1&from_ssr=1,https://p3-sign.douyinpic.com/tos-cn-p-0015/oAEkDZ0Wg2H9AIXgktQakYeWAOA2N3bfBoDcnq~c5_300x400.jpeg?x-expires=1685091600&x-signature=im4KILupt6ipHO4j9zDULcZhODs%3D&from=2563711402_large
格力：孟羽童已离职，人员流动很正常。,https://www.iesdouyin.com/share/video/7231470913412222211/?region=CN&mid=7231471191226108728&u_code=0&titleType=title&did=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&iid=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&with_sec_did=1&from_ssr=1,https://p3-sign.douyinpic.com/tos-cn-p-0015/ocfwHChyLAw6AU6BhKCaVeWBChbtINwUAkcgEz~c5_300x400.jpeg?x-expires=1685091600&x-signature=p4I7UnFM6%2FACIFGoQW%2FD%2FpnTEqc%3D&from=2563711402_large
